Normalized MuB	Sample Name	tissue
5.9083	P4200.plasma_1a	plasma
13.4887	P5393.plasma_1a	plasma
13.6948	P5241.plasma_1a	plasma
5.8009	P4755.plasma_1a	plasma
11.7258	P4086.plasma_1a	plasma
9.6071	P5295.plasma_1a	plasma
11.5597	P5378.plasma_1a	plasma
15.8784	P4544.plasma_1a	plasma
3.8875	P4475.plasma_1a	plasma
7.7476	P4485.plasma_1a	plasma
7.8627	P4607.plasma_1a	plasma
11.8374	P4252.plasma_1a	plasma
5.8853	P4087.plasma_1a	plasma
7.8199	P5136.plasma_1a	plasma
9.9217	P4614.plasma_1a	plasma
11.6301	P5207.plasma_1a	plasma
1.9474	P4483.plasma_1a	plasma
3.8528	P5129.plasma_1a	plasma
1.9693	P5163.plasma_1a	plasma
6.0059	P4972.plasma_1a	plasma
7.9289	P4306.plasma_1a	plasma
9.6543	P4318.plasma_1a	plasma
1.9152	P4752.plasma_1a	plasma
3.9275	P4288.plasma_1a	plasma
5.8786	P4330.plasma_1a	plasma
1.9219	P4581.plasma_1a	plasma
7.9402	P4114.plasma_1a	plasma
3.8693	P4678.plasma_1a	plasma
11.6877	P3999.plasma_1b	plasma
11.7572	P4345.plasma_1a	plasma
3.8934	P4698.plasma_1a	plasma
3.9572	P4435.plasma_2a	plasma
27.7115	P4346.plasma_1a	plasma
5.8569	P4119.plasma_2a	plasma
7.7193	P4178.plasma_1a	plasma
17.4532	P5313.plasma_1a	plasma
11.7774	P4390.plasma_1a	plasma
1.9793	P4088.plasma_1a	plasma
7.9297	P4622.plasma_1a	plasma
5.9396	P2154.plasma_2a	plasma
8.0146	P4294.plasma_1a	plasma
5.9676	P4997.plasma_1a	plasma
3.9313	P4553.plasma_1a	plasma
9.8384	P4100.plasma_1a	plasma
3.8699	P2754.plasma_2a	plasma
3.8985	P4261.plasma_1a	plasma
3.9508	P4331.plasma_1a	plasma
5.8534	P5147.plasma_1a	plasma
7.693	P4177.plasma_1a	plasma
1.9584	P330.plasma_2a	plasma
7.7682	P4154.plasma_1a	plasma
5.8805	P5199.plasma_1a	plasma
7.8547	P4556.plasma_1a	plasma
9.7243	P4263.plasma_1a	plasma
5.7751	P4290.plasma_2a	plasma
9.641	P5121.plasma_1a	plasma
7.7547	P5255.plasma_1a	plasma
7.7112	P4190.plasma_1a	plasma
7.9937	P4424.plasma_1a	plasma
9.8272	P5350.plasma_1a	plasma
5.8726	P4708.plasma_1a	plasma
7.686	P320.plasma_3a	plasma
5.8026	P4841.plasma_1a	plasma
13.7814	P5183.plasma_1a	plasma
3.8378	P4857.plasma_1a	plasma
5.7569	P4601.plasma_1a	plasma
1.9282	P4465.plasma_1a	plasma
9.8528	P4549.plasma_1a	plasma
3.9233	P4490.plasma_1a	plasma
5.7867	P5211.plasma_1a	plasma
11.3639	P4309.plasma_1a	plasma
9.9397	P4815.plasma_1a	plasma
5.8899	P2958.plasma_3a	plasma
11.7999	P3676.plasma_2a	plasma
1.9167	P4836.plasma_1a	plasma
5.8624	P3129.plasma_2a	plasma
7.8522	P4501.plasma_1a	plasma
3.8949	P5347.plasma_1a	plasma
3.8891	P4692.plasma_1a	plasma
15.508	P5343.plasma_1a	plasma
5.8929	P4534.plasma_1a	plasma
9.7869	P4710.plasma_1a	plasma
5.9314	P4552.plasma_1a	plasma
3.9668	P4414.plasma_1a	plasma
5.8249	P4394.plasma_1a	plasma
23.1674	P4586.plasma_1a	plasma
9.5994	P4307.plasma_1a	plasma
21.6959	P5252.plasma_1a	plasma
3.9062	P4380.plasma_1a	plasma
7.8539	P2843.plasma_2a	plasma
7.7366	P5148.plasma_1a	plasma
3.87	P4473.plasma_1a	plasma
9.8182	P4270.plasma_1a	plasma
9.6037	P4155.plasma_1a	plasma
9.669	P4262.plasma_1a	plasma
3.9492	P5214.plasma_1a	plasma
5.9196	P4774.plasma_1a	plasma
3.8172	P5118.plasma_1a	plasma
1.9473	P4497.plasma_1a	plasma
7.6892	P5205.plasma_1a	plasma
7.6932	P4594.plasma_1a	plasma
13.8099	P4373.plasma_1a	plasma
1.9173	P4118.plasma_1a	plasma
1.9866	P4410.plasma_1a	plasma
11.6759	P4528.plasma_1a	plasma
3.8586	P4152.plasma_1a	plasma
13.3961	P4595.plasma_1a	plasma
5.8341	P5152.plasma_1a	plasma
15.4899	P4310.plasma_1a	plasma
5.7006	P408.plasma_2a	plasma
5.8615	P4572.plasma_1a	plasma
3.9021	P4375.plasma_1a	plasma
3.8555	P4854.plasma_1a	plasma
5.6987	P4172.plasma_1a	plasma
13.6247	P5257.plasma_1a	plasma
7.7068	P4463.plasma_1a	plasma
17.3322	P5382.plasma_1a	plasma
3.9495	P5178.plasma_1a	plasma
7.79	P4123.plasma_1a	plasma
7.6759	P4585.plasma_1a	plasma
5.8529	P4583.plasma_1a	plasma
7.7526	P4191.plasma_1a	plasma
3.8768	P5231.plasma_1a	plasma
5.8283	P5208.plasma_1a	plasma
6.0037	P4645.plasma_1a	plasma
7.6624	P5109.plasma_1a	plasma
7.9976	P4643.plasma_1a	plasma
7.6784	P4833.plasma_1a	plasma
13.4531	P5296.plasma_1a	plasma
9.591	P5288.plasma_1a	plasma
11.4045	P5086.plasma_1a	plasma
13.8303	P4519.plasma_1a	plasma
9.6452	P3195.plasma_2a	plasma
3.8768	P4870.plasma_1a	plasma
0	P5224.plasma_1a	plasma
11.8142	P4487.plasma_1a	plasma
0	P5106.plasma_1a	plasma
7.741	P4868.plasma_1a	plasma
5.8352	P4121.plasma_1a	plasma
9.6056	P4877.plasma_1a	plasma
5.6914	P5082.plasma_1a	plasma
3.9053	P5212.plasma_1a	plasma
7.7467	P5201.plasma_1a	plasma
11.5905	P4068.plasma_1a	plasma
5.8052	P4386.plasma_1a	plasma
9.7331	P5206.plasma_1a	plasma
1.9342	P5202.plasma_1a	plasma
9.7397	P4369.plasma_1a	plasma
11.8788	P4793.plasma_1a	plasma
9.5369	P4062.plasma_2a	plasma
3.9451	P5251.plasma_1a	plasma
15.3231	P4120.plasma_1a	plasma
1.939	P5365.plasma_1a	plasma
1.9047	P4722.plasma_1a	plasma
1.9432	P4384.plasma_1a	plasma
15.2071	P4061.plasma_2a	plasma
1.9218	P4458.plasma_1a	plasma
5.8255	P4293.plasma_1a	plasma
3.8814	P5387.plasma_1a	plasma
7.8078	P4687.plasma_1a	plasma
